Language,Intended use,Imperative,Object-oriented,Functional,Procedural,Generic,Reflective,Event-driven,Other paradigm(s),Standardized?
ActionScript 3.0,"Application, client-side, web",Yes,Yes,Yes,,,,Yes,,"1996, ECMA"
Ada,"Application, embedded, realtime, system",Yes,Yes[2],,Yes[3],Yes[4],,,"concurrent,[5] distributed,[6]","1983, 2005, 2012, ANSI, ISO, GOST 27831-88[7]"
Aldor,"Highly domain-specific, symbolic computing",Yes,Yes,Yes,,,,,,No
ALGOL 58,Application,Yes,,,,,,,,No
ALGOL 60,Application,Yes,,,,,,,,"1960, IFIP WG 2.1, ISO[8]"
ALGOL 68,Application,Yes,,,,,,,concurrent,"1968, IFIP WG 2.1, GOST 27974-88,[9]"
Ateji PX,Parallel application,,Yes,,,,,,pi calculus,No
APL,"Application, data processing",Yes,Yes,Yes,Yes,Yes,Yes,Yes,"array-oriented, tacit","1989, ISO"
Assembly language,General,Yes,,,,,,,"any, syntax is usually highly specific, related to the target processor",No
AutoHotkey,"GUI automation (macros), highly domain-specific",Yes,,,,,,,,No
AutoIt,"GUI automation (macros), highly domain-specific",Yes,,,Yes,,,Yes,,No
Bash,"Shell, scripting",Yes,,,Yes,,,,,
Ballerina,"Integration, agile, server-side, general",Yes,Yes,,Yes,,,Yes,"concurrent, transactional, statically and strongly typed programming, diagrammatic / visual programming",2018 De facto standard via Ballerina Language Specification[10]
BASIC,"Application, education",Yes,,,Yes,,,,,"1983, ANSI, ISO, ECMA"
BBj,"Application, business, web",,Yes,,Yes,,,,,No
BeanShell,"Application, scripting",Yes,Yes,Yes,,,Yes,,,"In progress, JCP[11]"
BitC,System,Yes,,Yes,,,,,,No
BLISS,System,,,,Yes,,,,,No
BlitzMax,"Application, game",Yes,Yes,,Yes,,Yes,,,No
Blue,Education,Yes,Yes,,,Yes,,,,No
Boo,Application,,,,,,,,,No
Bro,"domain-specific, application",Yes,,,,,,Yes,,No
C,"Application, system,[12] general purpose, low-level operations",Yes,,,Yes,,,,,"1989, ANSI C89, ISO C90, ISO C99, ISO C11[13]"
C++,"Application, system",Yes,Yes,Yes,Yes,Yes,,,,"1998, ISO/IEC 1998, ISO/IEC 2003, ISO/IEC 2011,ISO/IEC 2014[14]"
C#,"Application, RAD, business, client-side, general, server-side, web",Yes,Yes,Yes[15],Yes,Yes,Yes,Yes,"structured, concurrent","2000, ECMA, ISO[16]"
Clarion,"General, business, web",Yes,Yes,Yes[17],,,,,,Unknown
Clean,General,,,Yes,,Yes,,,,No
Clojure,General,,,Yes,,,,,concurrent,No
CLU,General,Yes,Yes,,Yes,Yes,,,,No
COBOL,"Application, business",Yes,Yes,,Yes,,,,,"ANSI X3.23 1968, 1974, 1985; ISO/IEC 1989:1985, 2002, 2014"
Cobra,"Application, business, general, web",Yes,Yes,Yes,,Yes,Yes,,,No
ColdFusion (CFML),Web,,Yes,,Yes,,,,,No
Common Lisp,General,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"extensible syntax, Array-oriented,syntactic macros, multiple dispatch, concurrent","1994, ANSI"
COMAL 80,Education,Yes,,,Yes,,,,,No
Crystal,General purpose,Yes,Yes[18],Yes,Yes,,,,alpha stage[19],No
Cython,"Application, general, numerical computing",Yes,Yes,Yes,,,Yes,,aspect-oriented,No
D,"Application, system",Yes,Yes,Yes,Yes,Yes,Yes,,"generative, concurrent",No
Dart,"Application, web, server-side, mobile, IoT",Yes,Yes,Yes,,,,,structured,Ecma-408 standard
Dylan,Application,,Yes,Yes,,,,,,No
Eiffel,"General, application, business, client-side, server-side, web (EWF)",Yes,Yes,Yes[20][21],,Yes,Yes Erl-G,Yes Agents,"distributed SCOOP, Void-safe","2005, ECMA, ISO[22]"
Elixir,"Application, distributed",,,Yes,,,,Yes,"concurrent, distributed",No
Erlang,"Application, distributed",,,Yes,,,,Yes,"concurrent, distributed",No
Euphoria,Application,,,,Yes,,Yes,,,No
Factor,General,Yes,,can be viewed as,,Yes,Yes,,stack-oriented,No
Falcon,"General, application",,Yes,Yes,Yes,,,,"prototype OOP, message oriented, tabular programming",No
FP,,,,Yes,,,,,,No
F#,Application,Yes,Yes,Yes,,Yes,,,,No
Forth,General,Yes,,can be viewed as,,,,,stack-oriented,"1994, ANSI"
Fortran,"Application, numerical computing",Yes,Yes,,Yes,Yes,,,,"1966, ANSI 66, ANSI 77, MIL-STD-1753, ISO 90, ISO 95, ISO 2003, ISO/IEC 1539-1:2010 (2008)"
FreeBASIC,"Application, numerical computing",Yes,Yes,,Yes,Yes,,,,No
G2,"Application, inference, expert system",Yes,Yes,,,,,Yes,common graphical development and runtime environment,No
Gambas,Application,Yes,Yes,,,,,Yes,,No
Game Maker Language,"Application, games",Yes,Yes,,,,,Yes,,No
GLBasic,"Application, games",Yes,Yes,,Yes,,,,simple object-oriented,No
Go,"Application, web, server-side",Yes,[23],Yes,Yes,,Yes,Yes,concurrent,De facto standard via Go Language Specification
